Name,Cuisine / Type,Google Rating,ImageURL,Hours,FormattedHours,Phone,Address
A2 Wine Bar,Wine Bar (Bar-only),5,https://s3-media3.fl.yelpcdn.com/bphoto/O9uLa0ii4tsK4KJyKtZZuQ/o.jpg,"[{""is_overnight"":false,""start"":""1700"",""end"":""2200"",""day"":2},{""is_overnight"":false,""start"":""1700"",""end"":""2200"",""day"":3},{""is_overnight"":false,""start"":""1700"",""end"":""2200"",""day"":4},{""is_overnight"":false,""start"":""1700"",""end"":""2200"",""day"":5},{""is_overnight"":false,""start"":""1700"",""end"":""2200"",""day"":6}]",Wednesday: 5:00 PM - 10:00 PM | Thursday: 5:00 PM - 10:00 PM | Friday: 5:00 PM - 10:00 PM | Saturday: 5:00 PM - 10:00 PM | Sunday: 5:00 PM - 10:00 PM,,"117 S B St, San Mateo, CA, 94401"
Eddie’s Sports Bar,Sports Bar (Bar-only),4.1,https://s3-media2.fl.yelpcdn.com/bphoto/ZayHhBj6vSbxjSk_a33nAw/o.jpg,"[{""is_overnight"":true,""start"":""1600"",""end"":""0200"",""day"":0},{""is_overnight"":true,""start"":""1600"",""end"":""0200"",""day"":1},{""is_overnight"":true,""start"":""1600"",""end"":""0200"",""day"":2},{""is_overnight"":true,""start"":""1600"",""end"":""0200"",""day"":3},{""is_overnight"":true,""start"":""1600"",""end"":""0200"",""day"":4},{""is_overnight"":true,""start"":""1600"",""end"":""0200"",""day"":5},{""is_overnight"":true,""start"":""1600"",""end"":""0200"",""day"":6}]",Monday: 4:00 PM - 2:00 AM | Tuesday: 4:00 PM - 2:00 AM | Wednesday: 4:00 PM - 2:00 AM | Thursday: 4:00 PM - 2:00 AM | Friday: 4:00 PM - 2:00 AM | Saturday: 4:00 PM - 2:00 AM | Sunday: 4:00 PM - 2:00 AM,,"215 S B St, San Mateo, CA, 94401"
Fogbird,Cocktail Bar (Bar-only),4.8,https://s3-media1.fl.yelpcdn.com/bphoto/o7SBhdniI7YCXqbZzSm6Dg/o.jpg,"[{""is_overnight"":false,""start"":""1600"",""end"":""2100"",""day"":0},{""is_overnight"":false,""start"":""1600"",""end"":""2200"",""day"":1},{""is_overnight"":false,""start"":""1600"",""end"":""2200"",""day"":2},{""is_overnight"":false,""start"":""1600"",""end"":""2200"",""day"":3},{""is_overnight"":false,""start"":""1600"",""end"":""0000"",""day"":4},{""is_overnight"":false,""start"":""1600"",""end"":""0000"",""day"":5}]",Monday: 4:00 PM - 9:00 PM | Tuesday: 4:00 PM - 10:00 PM | Wednesday: 4:00 PM - 10:00 PM | Thursday: 4:00 PM - 10:00 PM | Friday: 4:00 PM - 12:00 AM | Saturday: 4:00 PM - 12:00 AM,+16504580049,"144 South B St, San Mateo, CA, 94401"
McGovern’s Bar,Irish Pub (Bar-only),4.3,https://s3-media3.fl.yelpcdn.com/bphoto/6bYpbDhhQpnL5FuvAvQTeg/o.jpg,"[{""is_overnight"":true,""start"":""1900"",""end"":""0200"",""day"":1},{""is_overnight"":true,""start"":""1700"",""end"":""0200"",""day"":2},{""is_overnight"":true,""start"":""1700"",""end"":""0200"",""day"":3},{""is_overnight"":true,""start"":""1700"",""end"":""0200"",""day"":4},{""is_overnight"":true,""start"":""1700"",""end"":""0200"",""day"":5},{""is_overnight"":true,""start"":""1900"",""end"":""0200"",""day"":6}]",Tuesday: 7:00 PM - 2:00 AM | Wednesday: 5:00 PM - 2:00 AM | Thursday: 5:00 PM - 2:00 AM | Friday: 5:00 PM - 2:00 AM | Saturday: 5:00 PM - 2:00 AM | Sunday: 7:00 PM - 2:00 AM,+16503725335,"215 E 4th Ave, San Mateo, CA, 94401"
Mortar & Pestle,Cocktail Bar (Bar-only inside Curry Up Now),4.5,https://s3-media2.fl.yelpcdn.com/bphoto/F2j9P67tmkCfilqnnTbz6Q/o.jpg,"[{""is_overnight"":false,""start"":""1600"",""end"":""2300"",""day"":0},{""is_overnight"":false,""start"":""1600"",""end"":""2300"",""day"":1},{""is_overnight"":false,""start"":""1600"",""end"":""2300"",""day"":2},{""is_overnight"":false,""start"":""1600"",""end"":""2300"",""day"":3},{""is_overnight"":false,""start"":""1600"",""end"":""0000"",""day"":4},{""is_overnight"":false,""start"":""1600"",""end"":""0000"",""day"":5},{""is_overnight"":false,""start"":""1600"",""end"":""2200"",""day"":6}]",Monday: 4:00 PM - 11:00 PM | Tuesday: 4:00 PM - 11:00 PM | Wednesday: 4:00 PM - 11:00 PM | Thursday: 4:00 PM - 11:00 PM | Friday: 4:00 PM - 12:00 AM | Saturday: 4:00 PM - 12:00 AM | Sunday: 4:00 PM - 10:00 PM,+16508996669,"130 S B St, San Mateo, CA, 94401"
O’Neill’s Irish Pub,Irish Pub (Bar-only),4.4,https://s3-media4.fl.yelpcdn.com/bphoto/sWB97Q8vleHzM859X2Fh5g/o.jpg,"[{""is_overnight"":true,""start"":""1130"",""end"":""0145"",""day"":0},{""is_overnight"":true,""start"":""1130"",""end"":""0145"",""day"":1},{""is_overnight"":true,""start"":""1130"",""end"":""0145"",""day"":2},{""is_overnight"":true,""start"":""1130"",""end"":""0145"",""day"":3},{""is_overnight"":true,""start"":""1130"",""end"":""0145"",""day"":4},{""is_overnight"":true,""start"":""1130"",""end"":""0145"",""day"":5},{""is_overnight"":true,""start"":""1130"",""end"":""0145"",""day"":6}]",Monday: 11:30 AM - 1:45 AM | Tuesday: 11:30 AM - 1:45 AM | Wednesday: 11:30 AM - 1:45 AM | Thursday: 11:30 AM - 1:45 AM | Friday: 11:30 AM - 1:45 AM | Saturday: 11:30 AM - 1:45 AM | Sunday: 11:30 AM - 1:45 AM,+16503471544,"34 S B St, San Mateo, CA, 94401"
Sky Lounge,Lounge (Bar-only),3.8,https://s3-media3.fl.yelpcdn.com/bphoto/zTIdJ2q8u1r_y7GU8gN2YA/o.jpg,"[{""is_overnight"":false,""start"":""1700"",""end"":""2200"",""day"":0},{""is_overnight"":false,""start"":""1630"",""end"":""2330"",""day"":2},{""is_overnight"":false,""start"":""1630"",""end"":""2330"",""day"":3},{""is_overnight"":true,""start"":""1700"",""end"":""0100"",""day"":4},{""is_overnight"":true,""start"":""1700"",""end"":""0100"",""day"":5}]",Monday: 5:00 PM - 10:00 PM | Wednesday: 4:30 PM - 11:30 PM | Thursday: 4:30 PM - 11:30 PM | Friday: 5:00 PM - 1:00 AM | Saturday: 5:00 PM - 1:00 AM,,"76 E 3rd Ave, San Mateo, CA, 94401"
Wunderbar,Speakeasy Cocktail Bar (Bar-only),4.3,https://s3-media3.fl.yelpcdn.com/bphoto/hbFXlpKMoFGNpD9wga9Q3Q/o.jpg,"[{""is_overnight"":false,""start"":""1630"",""end"":""2300"",""day"":2},{""is_overnight"":false,""start"":""1630"",""end"":""2300"",""day"":3},{""is_overnight"":false,""start"":""1630"",""end"":""2330"",""day"":4},{""is_overnight"":false,""start"":""1630"",""end"":""2330"",""day"":5}]",Wednesday: 4:30 PM - 11:00 PM | Thursday: 4:30 PM - 11:00 PM | Friday: 4:30 PM - 11:30 PM | Saturday: 4:30 PM - 11:30 PM,,"310 Baldwin Ave, San Mateo, CA, 94401"
Tiger Tea & Juice,Bubble Tea Shop (Boba),4.2,https://s3-media3.fl.yelpcdn.com/bphoto/giax4mIzmD4x_nmjaM6Gjw/o.jpg,"[{""is_overnight"":false,""start"":""1130"",""end"":""2100"",""day"":0},{""is_overnight"":false,""start"":""1130"",""end"":""2100"",""day"":1},{""is_overnight"":false,""start"":""1130"",""end"":""2100"",""day"":2},{""is_overnight"":false,""start"":""1130"",""end"":""2100"",""day"":3},{""is_overnight"":false,""start"":""1130"",""end"":""2300"",""day"":4},{""is_overnight"":false,""start"":""1130"",""end"":""2300"",""day"":5},{""is_overnight"":false,""start"":""1130"",""end"":""2100"",""day"":6}]",Monday: 11:30 AM - 9:00 PM | Tuesday: 11:30 AM - 9:00 PM | Wednesday: 11:30 AM - 9:00 PM | Thursday: 11:30 AM - 9:00 PM | Friday: 11:30 AM - 11:00 PM | Saturday: 11:30 AM - 11:00 PM | Sunday: 11:30 AM - 9:00 PM,,"212 E 3rd Ave, San Mateo, CA, 94401"
Heeretea,Bubble Tea Shop (Boba),4,https://s3-media2.fl.yelpcdn.com/bphoto/s0eB-mpTYCbSwbHpyT7Qkw/o.jpg,"[{""is_overnight"":false,""start"":""1200"",""end"":""2100"",""day"":0},{""is_overnight"":false,""start"":""1200"",""end"":""2100"",""day"":1},{""is_overnight"":false,""start"":""1200"",""end"":""2100"",""day"":2},{""is_overnight"":false,""start"":""1200"",""end"":""2100"",""day"":3},{""is_overnight"":false,""start"":""1200"",""end"":""2230"",""day"":4},{""is_overnight"":false,""start"":""1200"",""end"":""2230"",""day"":5},{""is_overnight"":false,""start"":""1200"",""end"":""2130"",""day"":6}]",Monday: 12:00 PM - 9:00 PM | Tuesday: 12:00 PM - 9:00 PM | Wednesday: 12:00 PM - 9:00 PM | Thursday: 12:00 PM - 9:00 PM | Friday: 12:00 PM - 10:30 PM | Saturday: 12:00 PM - 10:30 PM | Sunday: 12:00 PM - 9:30 PM,,"253 S B St, San Mateo, CA, 94401"
