Name,Cuisine / Type,Google Rating,ImageURL
A2 Wine Bar,Wine Bar (Bar-only),5,https://s3-media3.fl.yelpcdn.com/bphoto/O9uLa0ii4tsK4KJyKtZZuQ/o.jpg
Eddie’s Sports Bar,Sports Bar (Bar-only),4.1,https://s3-media2.fl.yelpcdn.com/bphoto/ZayHhBj6vSbxjSk_a33nAw/o.jpg
Fogbird,Cocktail Bar (Bar-only),4.8,https://s3-media1.fl.yelpcdn.com/bphoto/o7SBhdniI7YCXqbZzSm6Dg/o.jpg
McGovern’s Bar,Irish Pub (Bar-only),4.3,https://s3-media3.fl.yelpcdn.com/bphoto/6bYpbDhhQpnL5FuvAvQTeg/o.jpg
Mortar & Pestle,Cocktail Bar (Bar-only inside Curry Up Now),4.5,https://s3-media2.fl.yelpcdn.com/bphoto/F2j9P67tmkCfilqnnTbz6Q/o.jpg
O’Neill’s Irish Pub,Irish Pub (Bar-only),4.4,https://s3-media4.fl.yelpcdn.com/bphoto/sWB97Q8vleHzM859X2Fh5g/o.jpg
Sky Lounge,Lounge (Bar-only),3.8,https://s3-media3.fl.yelpcdn.com/bphoto/zTIdJ2q8u1r_y7GU8gN2YA/o.jpg
Wunderbar,Speakeasy Cocktail Bar (Bar-only),4.3,https://s3-media3.fl.yelpcdn.com/bphoto/hbFXlpKMoFGNpD9wga9Q3Q/o.jpg
Tiger Tea & Juice,Bubble Tea Shop (Boba),4.2,https://s3-media3.fl.yelpcdn.com/bphoto/giax4mIzmD4x_nmjaM6Gjw/o.jpg
Heeretea,Bubble Tea Shop (Boba),4,https://s3-media2.fl.yelpcdn.com/bphoto/s0eB-mpTYCbSwbHpyT7Qkw/o.jpg
Sharetea,Bubble Tea Shop (Boba),4.1,https://s3-media2.fl.yelpcdn.com/bphoto/9_oVOp0t4d4JNifbzl-ezA/o.jpg
Shuyi Grass Jelly & Tea,Bubble Tea Shop (Boba),4.5,https://s3-media1.fl.yelpcdn.com/bphoto/W0hxdvU9KwhnOsx51vs5fQ/o.jpg
Sweet Moment,Taiwanese Snack & Boba Cafe,4.7,https://s3-media4.fl.yelpcdn.com/bphoto/WbmbktaJqksdCe_NwiBRWA/o.jpg
Teaspoon,Bubble Tea Shop (Boba),4.4,https://s3-media1.fl.yelpcdn.com/bphoto/W7VD1cEsbLodRnN9wFzPSA/o.jpg
TP Tea,Bubble Tea Shop (Boba),4.4,https://s3-media4.fl.yelpcdn.com/bphoto/THB1g110vGHIs0q7eZMJ4g/o.jpg
Urban Ritual,Bubble Tea Cafe (Boba),4,https://s3-media4.fl.yelpcdn.com/bphoto/bg0GRjU4ZmfRoG5usf1U2w/o.jpg
Yi Fang Tea,Bubble Tea Shop (Boba),4.3,https://s3-media1.fl.yelpcdn.com/bphoto/OJF-wAWiOue0xwFMKcNWgA/o.jpg
Boba Bless,Bubble Tea Shop (Boba),5,https://s3-media3.fl.yelpcdn.com/bphoto/nX6elBrKQt-iK4vIWi2i9Q/o.jpg
Avocado Toast,Breakfast & Brunch Café,4.4,https://s3-media2.fl.yelpcdn.com/bphoto/Clf2PzTPGvqZh2KQG8BdUA/o.jpg
Bay Watch Restaurant,Breakfast & Brunch Diner,4.3,https://s3-media4.fl.yelpcdn.com/bphoto/-2q8AgIGhBox00Hi2bAt9A/o.jpg
Fiero Caffe,"Breakfast, Brunch & Coffee",4.5,https://s3-media2.fl.yelpcdn.com/bphoto/N5S0tZCB7Z29Eji-kk0Yrg/o.jpg
Foreigner Café,Breakfast & Brunch (European-inspired),4.7,https://s3-media1.fl.yelpcdn.com/bphoto/Q28XblJ2YIleLkuyYSS9EQ/o.jpg
Noah’s NY Bagels,Bagel Shop (Breakfast & Brunch),4.2,https://s3-media1.fl.yelpcdn.com/bphoto/CEguaL79SCtNnWhOSFW2rg/o.jpg
Ike’s Place,Sandwiches & Burgers,4.6,https://s3-media3.fl.yelpcdn.com/bphoto/L0h4I3PUfnRD9Hjjp9QlLA/o.jpg
Jeffrey’s Hamburgers,Diner – Burgers & Sandwiches,4.5,https://s3-media1.fl.yelpcdn.com/bphoto/i6aZSYbxjRg_tssY2g96_Q/o.jpg
3 Bees Coffee,Coffee Shop,4.5,https://s3-media3.fl.yelpcdn.com/bphoto/OPoNMCmE17Eip21jdXU32Q/o.jpg
Backhaus,Bakery & Café (German),4.7,https://s3-media3.fl.yelpcdn.com/bphoto/zoFhjCqmbX1zaoT5ljur8w/o.jpg
Bliss on Tap (Baking Arts),Bakery & Coffee Shop,5,https://s3-media2.fl.yelpcdn.com/bphoto/7A4bvXBj-cm48FXdQD4EtA/o.jpg
Blue Bottle Coffee,Coffee Shop (Specialty),4.4,https://s3-media1.fl.yelpcdn.com/bphoto/8gTSPjJMWbR-_lJIZ-llNg/o.jpg
Donut Delite,Donuts & Coffee,4.4,https://s3-media1.fl.yelpcdn.com/bphoto/YyDQPdl4b3xYeWuYGRGuNw/o.jpg
Paris Baguette,Bakery & Café,4.4,https://s3-media1.fl.yelpcdn.com/bphoto/YYi309qOM0fxCqSlD57CUQ/o.jpg
Peet’s Coffee,Coffee Shop (Specialty),4.3,https://s3-media4.fl.yelpcdn.com/bphoto/RFp-U47Hbe_lKJtSQ2dnGw/o.jpg
Philz Coffee,Coffee Shop (Specialty),4.3,https://s3-media2.fl.yelpcdn.com/bphoto/eeBLRJU6lcLSQNVfwg1Gmw/o.jpg
Starbucks,Coffee Shop (Chain),3.8,https://s3-media3.fl.yelpcdn.com/bphoto/dBbqNaZQYDX-LNecyKAlDg/o.jpg
Tianfu Restaurant,Chinese – Sichuan,4.1,https://s3-media2.fl.yelpcdn.com/bphoto/pMruVAXy2W9kfLi3Q-LgJQ/o.jpg
Dough Zone Dumpling House,Chinese – Dumplings & Noodles,4.1,https://s3-media4.fl.yelpcdn.com/bphoto/AuCZZ3JQMul1ZOqM_E6asw/o.jpg
Happy Lamb Hot Pot,Chinese – Hot Pot,4.3,https://s3-media1.fl.yelpcdn.com/bphoto/PFPAjPm6ndyHmG66cwmGOA/o.jpg
Liuyishou Hot Pot,Chinese – Hot Pot,4,https://s3-media4.fl.yelpcdn.com/bphoto/MlICoftZnHWnYN-LwOUPrQ/o.jpg
Ox 9 Lanzhou Noodles,Chinese – Lanzhou Hand-Pulled Noodles,4,https://s3-media3.fl.yelpcdn.com/bphoto/YtbOXA6b0RK7Yz2pJBE1qg/o.jpg
Superstar Seafood Dim Sum,Chinese – Cantonese (Dim Sum),4,https://s3-media2.fl.yelpcdn.com/bphoto/aXOHMoq-eaSkSVAF69ePwg/o.jpg
Taste of Shao Xian,Chinese – Fujianese Snacks,4.2,https://s3-media2.fl.yelpcdn.com/bphoto/tzrRGF3NMsGhiQ_RTaRvqA/o.jpg
Zhangliang Malatang,Chinese – Mala Soup,4.2,https://s3-media1.fl.yelpcdn.com/bphoto/9RKmLeZnUVSrQdL4up8MaA/o.jpg
Ten Seconds Yunnan,Chinese – Yunnan Rice Noodles,4,https://s3-media1.fl.yelpcdn.com/bphoto/BfriNnFkp-Z6h03PYy7B-Q/o.jpg
Fish with You,Chinese – Sichuan (Malatang bowls),4.3,https://s3-media3.fl.yelpcdn.com/bphoto/ebAPZCVRPq1CejlnP7-r5g/o.jpg
Malatown,Chinese – Sichuan (Malatang bowls),4.3,https://s3-media1.fl.yelpcdn.com/bphoto/1FujtIG8cwkpwo3t8-wIOg/o.jpg
Tang Bar,Chinese – Modern Malatang & Bar,4.5,https://s3-media2.fl.yelpcdn.com/bphoto/YASEydPAaB_oDwBfddY7RA/o.jpg
Central Park Bistro,Contemporary American,4.4,https://s3-media3.fl.yelpcdn.com/bphoto/fi_T3FhRSdRaTGJa6li5mw/o.jpg
Pacific Catch,Contemporary American (Seafood),4.3,https://s3-media4.fl.yelpcdn.com/bphoto/CsmL28_C7rfFwBh3M5pVZw/o.jpg
Swing Shift,Contemporary American (Cal-American),4,https://s3-media2.fl.yelpcdn.com/bphoto/1XJKOSt4a01dSgRQro6Kfg/o.jpg
The Barrel Bistro & Wine Bar,Contemporary American (Wine Bistro),4.4,https://s3-media2.fl.yelpcdn.com/bphoto/oB1DL1-xH1o0zy9C1sK5YA/o.jpg
